	Genes	Counts	log2_value
0	AT1G01010	142	7.149747119504682
1	AT1G01020	200	7.643856189774724
2	AT1G01030	8	3.0
3	AT1G01040	1083	10.080817527608327
4	AT1G01050	466	8.86418614465428
5	AT1G01060	354	8.467605550082997
6	AT1G01070	39	5.285402218862249
7	AT1G01080	275	8.103287808412022
8	AT1G01090	859	9.746514321138463
9	AT1G01100	1015	9.987264012072538
10	AT1G01110	4	2.0
11	AT1G01120	1241	10.277287400130357
12	AT1G01130	14	3.807354922057604
13	AT1G01140	1743	10.767356854125685
14	AT1G01150	1	0.0
15	AT1G01160	369	8.527477006060396
16	AT1G01170	470	8.876516946565
17	AT1G01180	322	8.330916878114618
18	AT1G01190	2	1.0
19	AT1G01200	1	0.0
20	AT1G01210	79	6.303780748177103
21	AT1G01220	456	8.832890014164741
22	AT1G01225	3	1.584962500721156
23	AT1G01230	373	8.543031820255237
24	AT1G01240	424	8.727920454563199
25	AT1G01250	58	5.857980995127572
26	AT1G01260	421	8.717676423066395
27	AT1G01280	1	0.0
28	AT1G01290	185	7.531381460516312
29	AT1G01300	1071	10.064742764750257
30	AT1G01305	1	0.0
31	AT1G01310	1	0.0
32	AT1G01320	2615	11.352595231134304
33	AT1G01335	1	0.0
34	AT1G01340	218	7.768184324776926
35	AT1G01350	241	7.912889336229962
36	AT1G01355	5	2.321928094887362
37	AT1G01360	90	6.491853096329675
38	AT1G01370	9	3.169925001442312
39	AT1G01380	5	2.321928094887362
40	AT1G01390	20	4.321928094887363
41	AT1G01400	1	0.0
42	AT1G01410	1	0.0
43	AT1G01420	300	8.228818690495881
44	AT1G01430	898	9.810571634741146
45	AT1G01440	407	8.668884984266247
46	AT1G01450	167	7.383704292474052
47	AT1G01453	3	1.584962500721156
48	AT1G01460	1	0.0
49	AT1G01470	1573	10.619302955415687
50	AT1G01480	12	3.584962500721156
51	AT1G01490	1058	10.047123912114026
52	AT1G01500	188	7.554588851677638
53	AT1G01510	324	8.339850002884624
54	AT1G01520	12	3.584962500721156
55	AT1G01530	1	0.0
56	AT1G01540	451	8.81698362325538
57	AT1G01550	2440	11.252665432450248
58	AT1G01560	375	8.550746785383243
59	AT1G01570	20	4.321928094887363
60	AT1G01580	5	2.321928094887362
61	AT1G01590	1	0.0
62	AT1G01600	4	2.0
63	AT1G01610	1477	10.52845411076479
64	AT1G01620	405	8.661778097771988
65	AT1G01630	1197	10.225207436943503
66	AT1G01640	43	5.426264754702098
67	AT1G01650	1282	10.324180546618742
68	AT1G01660	42	5.392317422778761
69	AT1G01670	75	6.22881869049588
70	AT1G01680	318	8.312882955284355
71	AT1G01690	32	5.0
72	AT1G01695	13	3.700439718141092
73	AT1G01700	102	6.672425341971495
74	AT1G01710	579	9.177419537989236
75	AT1G01715	30	4.906890595608519
76	AT1G01720	654	9.353146825498083
77	AT1G01725	137	7.098032082960526
78	AT1G01730	484	8.918863237274595
79	AT1G01740	127	6.9886846867721655
80	AT1G01750	5	2.321928094887362
81	AT1G01760	10	3.321928094887362
82	AT1G01770	267	8.060695931687555
83	AT1G01780	118	6.882643049361842
84	AT1G01790	484	8.918863237274595
85	AT1G01800	626	9.290018846932618
86	AT1G01810	7	2.807354922057604
87	AT1G01820	846	9.72451385311995
88	AT1G01830	954	9.897845456005511
89	AT1G01840	2	1.0
90	AT1G01860	87	6.442943495848728
91	AT1G01880	16	4.0
92	AT1G01900	32	5.0
93	AT1G01910	364	8.507794640198696
94	AT1G01920	252	7.977279923499917
95	AT1G01930	191	7.577428828035749
96	AT1G01940	87	6.442943495848728
97	AT1G01950	414	8.693486957499324
98	AT1G01960	1661	10.697836357962377
99	AT1G01970	104	6.700439718141092
100	AT1G01980	1	0.0
101	AT1G01990	147	7.199672344836364
102	AT1G02000	74	6.20945336562895
103	AT1G02010	121	6.918863237274595
104	AT1G02020	183	7.515699838284043
105	AT1G02030	1	0.0
106	AT1G02040	3	1.584962500721156
107	AT1G02050	130	7.022367813028454
108	AT1G02060	117	6.870364719583405
109	AT1G02065	1	0.0
110	AT1G02067	1	0.0
111	AT1G02070	1	0.0
112	AT1G02080	2715	11.406736482691723
113	AT1G02090	235	7.876516946564999
114	AT1G02100	519	9.019590728357882
115	AT1G02110	212	7.727920454563199
116	AT1G02120	1652	10.689997971419446
117	AT1G02130	235	7.876516946564999
118	AT1G02140	614	9.262094845370179
119	AT1G02145	305	8.252665432450248
120	AT1G02150	540	9.076815597050832
121	AT1G02160	137	7.098032082960526
122	AT1G02170	561	9.131856960608793
123	AT1G02180	13	3.700439718141092
124	AT1G02190	1	0.0
125	AT1G02205	4	2.0
126	AT1G02210	1	0.0
127	AT1G02220	89	6.475733430966398
128	AT1G02230	33	5.044394119358453
129	AT1G02250	5	2.321928094887362
130	AT1G02260	568	9.149747119504681
131	AT1G02270	339	8.405141463136344
132	AT1G02280	240	7.906890595608519
133	AT1G02290	133	7.05528243550119
134	AT1G02300	607	9.245552706255681
135	AT1G02305	2257	11.140190703191836
136	AT1G02310	12	3.584962500721156
137	AT1G02320	1	0.0
138	AT1G02330	214	7.7414669864011465
139	AT1G02335	13	3.700439718141092
140	AT1G02340	73	6.189824558880018
141	AT1G02350	42	5.392317422778761
142	AT1G02360	839	9.712527000439824
143	AT1G02370	173	7.434628227636725
144	AT1G02380	14	3.807354922057604
145	AT1G02390	550	9.103287808412022
146	AT1G02400	668	9.383704292474052
147	AT1G02405	19	4.247927513443585
148	AT1G02410	237	7.888743248898259
149	AT1G02420	43	5.426264754702098
150	AT1G02430	30	4.906890595608519
151	AT1G02440	3	1.584962500721156
152	AT1G02450	21	4.392317422778761
153	AT1G02460	11	3.4594316186372973
154	AT1G02470	292	8.189824558880018
155	AT1G02475	522	9.027905996569885
156	AT1G02490	1	0.0
157	AT1G02500	4794	12.227014193649133
158	AT1G02510	1	0.0
159	AT1G02520	23	4.523561956057013
160	AT1G02530	3	1.584962500721156
161	AT1G02540	1	0.0
162	AT1G02550	1	0.0
163	AT1G02560	1730	10.756556322524087
164	AT1G02570	1	0.0
165	AT1G02575	1	0.0
166	AT1G02580	10	3.321928094887362
167	AT1G02590	1	0.0
168	AT1G02610	53	5.727920454563199
169	AT1G02620	2	1.0
170	AT1G02630	1	0.0
171	AT1G02640	15	3.9068905956085187
172	AT1G02650	7	2.807354922057604
173	AT1G02660	251	7.971543553950772
174	AT1G02670	6	2.584962500721156
175	AT1G02680	103	6.6865005271832185
176	AT1G02690	36	5.169925001442312
177	AT1G02700	6	2.584962500721156
178	AT1G02705	2	1.0
179	AT1G02710	1	0.0
180	AT1G02720	15	3.9068905956085187
181	AT1G02730	16	4.0
182	AT1G02740	123	6.94251450533924
183	AT1G02750	114	6.832890014164741
184	AT1G02770	22	4.459431618637297
185	AT1G02780	3790	11.887982133058454
186	AT1G02790	1	0.0
187	AT1G02800	1	0.0
188	AT1G02810	1	0.0
189	AT1G02813	1	0.0
190	AT1G02816	169	7.400879436282184
191	AT1G02820	70	6.129283016944966
192	AT1G02830	1	0.0
193	AT1G02840	1177	10.200898605038445
194	AT1G02850	1056	10.044394119358454
195	AT1G02860	137	7.098032082960526
196	AT1G02870	157	7.294620748891627
197	AT1G02880	345	8.430452551665532
198	AT1G02890	1401	10.452241240430817
199	AT1G02900	2	1.0
200	AT1G02910	315	8.29920801838728
201	AT1G02920	16213	13.984863446633817
202	AT1G02930	26742	14.70681974633381
203	AT1G02940	12	3.584962500721156
204	AT1G02950	19	4.247927513443585
205	AT1G02960	308	8.266786540694902
206	AT1G02965	1	0.0
207	AT1G02970	9	3.169925001442312
208	AT1G02980	1	0.0
209	AT1G02990	443	8.791162888555018
210	AT1G03000	373	8.543031820255237
211	AT1G03010	35	5.129283016944966
212	AT1G03020	1	0.0
213	AT1G03030	288	8.169925001442312
214	AT1G03040	382	8.577428828035748
215	AT1G03050	1	0.0
216	AT1G03055	3	1.584962500721156
217	AT1G03060	1879	10.875749351420055
218	AT1G03070	14	3.807354922057604
219	AT1G03080	2396	11.226412192788786
220	AT1G03090	541	9.079484783826816
221	AT1G03100	60	5.906890595608519
222	AT1G03103	1	0.0
223	AT1G03106	1	0.0
224	AT1G03110	55	5.78135971352466
225	AT1G03120	1	0.0
226	AT1G03130	1447	10.498849206531725
227	AT1G03140	420	8.714245517666123
228	AT1G03150	106	6.727920454563199
229	AT1G03160	484	8.918863237274595
230	AT1G03165	7	2.807354922057604
231	AT1G03170	5	2.321928094887362
232	AT1G03180	14	3.807354922057604
233	AT1G03190	161	7.330916878114617
234	AT1G03200	68	6.087462841250339
235	AT1G03210	344	8.426264754702098
236	AT1G03220	388	8.599912842187127
237	AT1G03230	219	7.774787059601174
238	AT1G03240	1	0.0
239	AT1G03250	213	7.734709620225838
240	AT1G03260	84	6.392317422778761
241	AT1G03270	24	4.584962500721156
242	AT1G03280	570	9.154818109052105
243	AT1G03290	1065	10.056637715113201
